user_id,movie_id,rating
drakman,final-fantasy-vii-advent-children,3.0
drakman,midnight-express,4.0
drakman,beef-2023,4.0
drakman,7-and-8,3.0
drakman,eraserhead,3.0
drakman,rocky,3.5
drakman,scary-movie-2000,3.0
drakman,creed,3.5
drakman,lone-wolf-and-cub-baby-cart-in-peril,3.5
drakman,the-power-of-the-dog,4.0
drakman,barry-lyndon,4.0
drakman,longlegs,3.5
drakman,babylon-2022,4.5
drakman,fullmetal-alchemist-brotherhood,5.0
drakman,audition,4.0
drakman,exodus-gods-and-kings,2.0
drakman,the-long-goodbye,3.5
drakman,changeling,4.0
drakman,ale-e-franz-e-tanto-che-aspetti,3.0
drakman,boris-the-film,3.5
drakman,mississippi-grind,3.5
drakman,indiana-jones-and-the-last-crusade,3.5
drakman,the-santa-claus-gang,1.5
drakman,shaun-of-the-dead,4.0
drakman,geris-game,3.5
drakman,sun-in-buckets,2.0
drakman,splice,2.5
drakman,the-room,0.5
drakman,apocalypse-now,4.5
drakman,satoshi-kon-the-illusionist,3.5
drakman,look-back-2024,3.5
drakman,dont-look-up-2021,3.0
drakman,synecdoche-new-york,2.5
drakman,blue-collar,4.0
drakman,independence-day-resurgence,2.0
drakman,uncanny-alley-03-the-roommate,3.0
drakman,ichi-the-killer,4.0
drakman,kill-bill-vol-1,4.0
drakman,jackass-the-movie,3.5
drakman,the-man-who-saved-the-world-1982,0.5
drakman,day-night,4.0
drakman,following,3.5
drakman,spider-man-into-the-spider-verse,4.5
drakman,the-hobbit-the-desolation-of-smaug,2.5
drakman,the-handmaiden,5.0
drakman,heat-1995,4.0
drakman,call-me-by-your-name,3.5
drakman,the-worlds-end,3.5
drakman,the-shining,4.5
drakman,lemony-snickets-a-series-of-unfortunate-events,4.0
drakman,the-innocents-2016,3.0
drakman,prey-2022,3.5
drakman,harry-potter-and-the-order-of-the-phoenix,3.0
drakman,ninja-scroll,2.5
drakman,big-hero-6,4.0
drakman,jiro-dreams-of-sushi,3.5
drakman,black-mirror-arkangel,3.0
drakman,unforgiven-2013,4.0
drakman,robots,3.0
drakman,tampopo,3.0
drakman,solaris,2.0
drakman,kill-bill-the-whole-bloody-affair,4.0
drakman,blood-diamond,3.0
drakman,the-fly-1986,4.0
drakman,japan-sinks-2020,2.5
drakman,a-prophet,4.0
drakman,the-lord-of-the-rings-the-two-towers,5.0
drakman,nineteen-eighty-four-1984,3.0
drakman,brother-bear,2.5
drakman,insomnia-2002,3.0
drakman,shaolin-soccer,3.5
drakman,luxo-jr,3.5
drakman,outrage-coda,3.5
drakman,spirited-away,5.0
drakman,nymphomaniac-volume-i,4.0
drakman,the-human-centipede-first-sequence,4.0
drakman,beijing-2008-olympic-opening-ceremony,4.0
drakman,not-just-the-shorts-1-hour-of-unreleased,2.5
drakman,hulk,2.0
drakman,black-mirror-playtest,3.5
drakman,harry-potter-and-the-philosophers-stone,4.0
drakman,captain-fantastic,4.0
drakman,geralds-game,3.0
drakman,the-devils-advocate,3.5
drakman,indivisible,4.0
drakman,dogman-2018,4.0
drakman,titanic-1997,3.5
drakman,wolfwalkers,4.0
drakman,bruce-almighty,3.5
drakman,a-street-cat-named-bob,3.0
drakman,love-death-robots-bad-travelling,3.5
drakman,stuart-little-2,2.0
drakman,nosferatu-2024,4.0
drakman,the-witch-2015,3.0
drakman,crouching-tiger-hidden-dragon,4.0
drakman,the-aristocats,2.5
drakman,how-the-grinch-stole-christmas-2000,3.0
drakman,nocturnal-animals,3.5
drakman,jojo-rabbit,3.5
drakman,kingsman-the-golden-circle,3.5
drakman,black-mirror-shut-up-and-dance,4.0
drakman,there-will-be-blood,4.0
drakman,harry-potter-and-the-half-blood-prince,3.0
drakman,die-hard-2,3.0
drakman,big-fish,3.0
drakman,the-intouchables,4.0
drakman,love-death-robots-the-tall-grass,3.0
drakman,mune-guardian-of-the-moon,2.5
drakman,lone-wolf-and-cub-white-heaven-in-hell,3.5
